Sku,"Global Unique Id",Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_700-watt)","Attribute Value (pa_700-watt)","Attribute In Variations (pa_700-watt)","Attribute Is Visible (pa_700-watt)","Attribute Is Taxonomy (pa_700-watt)","Attribute Name (pa_btu)","Attribute Value (pa_btu)","Attribute In Variations (pa_btu)","Attribute Is Visible (pa_btu)","Attribute Is Taxonomy (pa_btu)","Attribute Name (pa_hvac-attribute)","Attribute Value (pa_hvac-attribute)","Attribute In Variations (pa_hvac-attribute)","Attribute Is Visible (pa_hvac-attribute)","Attribute Is Taxonomy (pa_hvac-attribute)","Attribute Name (pa_hvac-component)","Attribute Value (pa_hvac-component)","Attribute In Variations (pa_hvac-component)","Attribute Is Visible (pa_hvac-component)","Attribute Is Taxonomy (pa_hvac-component)","Attribute Name (pa_refrigerant)","Attribute Value (pa_refrigerant)","Attribute In Variations (pa_refrigerant)","Attribute Is Visible (pa_refrigerant)","Attribute Is Taxonomy (pa_refrigerant)","Attribute Name (pa_technology)","Attribute Value (pa_technology)","Attribute In Variations (pa_technology)","Attribute Is Visible (pa_technology)","Attribute Is Taxonomy (pa_technology)","Attribute Name (pa_voltage)","Attribute Value (pa_voltage)","Attribute In Variations (pa_voltage)","Attribute Is Visible (pa_voltage)","Attribute Is Taxonomy (pa_voltage)","Attribute Name (pa_wattage)","Attribute Value (pa_wattage)","Attribute In Variations (pa_wattage)","Attribute Is Visible (pa_wattage)","Attribute Is Taxonomy (pa_wattage)","Product Type","Shipping Class","Product Visibility","Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured"
,,8999,8999,,instock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,70,visible,https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_13.3kWh_Front-view.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_13.3kWh_Right-view.png|https://jan-garay.com/wp-content/uploads/2025/08/EP_Cube_600x600_fixed.jpg|https://jan-garay.com/wp-content/uploads/2025/08/EP_Cube_Smartgateway_Hybrid_RightView_resized.jpg|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Smartgateway_Right-view.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Battery-module-1.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Base.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_16.6kWh_Side-view.png.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Wall-mount-lift-kit.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube-App-001.jpg,EP-Cube_13.3kWh_Front-view.png|EP-Cube_13.3kWh_Right-view.png|EP_Cube_600x600_fixed.jpg|EP_Cube_Smartgateway_Hybrid_RightView_resized.jpg|EP-Cube_Smartgateway_Right-view.png|EP-Cube_Battery-module-1.png|EP-Cube_Base.png|EP-Cube_16.6kWh_Side-view.png.png|EP-Cube_Wall-mount-lift-kit.png|EP-Cube-App-001.jpg,/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_13.3kWh_Front-view.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_13.3kWh_Right-view.png|/srv/htdocs/wp-content/uploads/2025/08/EP_Cube_600x600_fixed.jpg|/srv/htdocs/wp-content/uploads/2025/08/EP_Cube_Smartgateway_Hybrid_RightView_resized.jpg|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Smartgateway_Right-view.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Battery-module-1.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Base.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_16.6kWh_Side-view.png.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Wall-mount-lift-kit.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube-App-001.jpg,5341|5342|5364|5365|5356|5350|5349|5346|5359|5320,"EP Cube_13.3kWh_Front view|EP Cube_13.3kWh_Right view|EP_Cube_600x600_fixed|EP_Cube_Smartgateway_Hybrid_RightView_resized|EP Cube_Smartgateway_Right view|EP Cube_Battery module-1|EP Cube_Base|EP Cube_16.6kWh_Side view.png|EP Cube_Wall mount lift kit|EP Cube App-001",|||||||||,|||||||||,|||||||||,https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_13.3kWh_Front-view.png
,,9999,9999,,instock,,,1,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,70,visible,https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_16.6kWh_Front-view.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_16.6kWh_Right-view.png|https://jan-garay.com/wp-content/uploads/2025/08/EP_Cube_600x600_fixed.jpg|https://jan-garay.com/wp-content/uploads/2025/08/EP_Cube_Smartgateway_Hybrid_resized.jpg|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Smartgateway_Right-view.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Battery-module-1.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Base.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_13.3kWh_Side-view.png.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Wall-mount-lift-kit.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube-012.jpg|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube-App-001.jpg,EP-Cube_16.6kWh_Front-view.png|EP-Cube_16.6kWh_Right-view.png|EP_Cube_600x600_fixed.jpg|EP_Cube_Smartgateway_Hybrid_resized.jpg|EP-Cube_Smartgateway_Right-view.png|EP-Cube_Battery-module-1.png|EP-Cube_Base.png|EP-Cube_13.3kWh_Side-view.png.png|EP-Cube_Wall-mount-lift-kit.png|EP-Cube-012.jpg|EP-Cube-App-001.jpg,/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_16.6kWh_Front-view.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_16.6kWh_Right-view.png|/srv/htdocs/wp-content/uploads/2025/08/EP_Cube_600x600_fixed.jpg|/srv/htdocs/wp-content/uploads/2025/08/EP_Cube_Smartgateway_Hybrid_resized.jpg|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Smartgateway_Right-view.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Battery-module-1.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Base.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_13.3kWh_Side-view.png.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Wall-mount-lift-kit.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube-012.jpg|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube-App-001.jpg,5344|5345|5364|5366|5356|5350|5349|5343|5359|5360|5320,"EP Cube_16.6kWh_Front view|EP Cube_16.6kWh_Right view|EP_Cube_600x600_fixed|EP_Cube_Smartgateway_Hybrid_resized|EP Cube_Smartgateway_Right view|EP Cube_Battery module-1|EP Cube_Base|EP Cube_13.3kWh_Side view.png|EP Cube_Wall mount lift kit|EP Cube-012|EP Cube App-001",||||||||||,||||||||||,||||||||||,https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_16.6kWh_Front-view.png
,,10999,10999,,instock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,70,visible,https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_19.jpg|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_19.9kWh_Front-view.png|https://jan-garay.com/wp-content/uploads/2025/08/EP_Cube_600x600_fixed.jpg|https://jan-garay.com/wp-content/uploads/2025/08/EP_Cube_Smartgateway_Hybrid_resized.jpg|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Smartgateway_Right-view.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Battery-module-1.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Base.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_16.6kWh_Side-view.png.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_Wall-mount-lift-kit.png|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube-App-001.jpg|https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_19.9kWh_Front-view-4-scaled.png,EP-Cube_19.jpg|EP-Cube_19.9kWh_Front-view.png|EP_Cube_600x600_fixed.jpg|EP_Cube_Smartgateway_Hybrid_resized.jpg|EP-Cube_Smartgateway_Right-view.png|EP-Cube_Battery-module-1.png|EP-Cube_Base.png|EP-Cube_16.6kWh_Side-view.png.png|EP-Cube_Wall-mount-lift-kit.png|EP-Cube-App-001.jpg|EP-Cube_19.9kWh_Front-view-4-scaled.png,/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_19.jpg|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_19.9kWh_Front-view.png|/srv/htdocs/wp-content/uploads/2025/08/EP_Cube_600x600_fixed.jpg|/srv/htdocs/wp-content/uploads/2025/08/EP_Cube_Smartgateway_Hybrid_resized.jpg|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Smartgateway_Right-view.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Battery-module-1.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Base.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_16.6kWh_Side-view.png.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_Wall-mount-lift-kit.png|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube-App-001.jpg|/srv/htdocs/wp-content/uploads/2025/08/EP-Cube_19.9kWh_Front-view-4-scaled.png,5431|5347|5364|5366|5356|5350|5349|5346|5359|5320|5380,"EP-Cube_19|EP Cube_19.9kWh_Front view|EP_Cube_600x600_fixed|EP_Cube_Smartgateway_Hybrid_resized|EP Cube_Smartgateway_Right view|EP Cube_Battery module-1|EP Cube_Base|EP Cube_16.6kWh_Side view.png|EP Cube_Wall mount lift kit|EP Cube App-001|EP Cube_19.9kWh_Front view (4)",||||||||||,||||||||||,EP-Cube_19.9kWh||||||||||,https://jan-garay.com/wp-content/uploads/2025/08/EP-Cube_19.jpg
,,559,559,,instock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,,visible,https://jan-garay.com/wp-content/uploads/2025/08/Growatt-Infinity-1500.jpg,Growatt-Infinity-1500.jpg,/srv/htdocs/wp-content/uploads/2025/08/Growatt-Infinity-1500.jpg,5415,"Growatt Infinity 1500",,,,https://jan-garay.com/wp-content/uploads/2025/08/Growatt-Infinity-1500.jpg
,,901,901,,instock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,,visible,https://jan-garay.com/wp-content/uploads/2025/08/Growatt-Infinity-2000-Pro.jpg,Growatt-Infinity-2000-Pro.jpg,/srv/htdocs/wp-content/uploads/2025/08/Growatt-Infinity-2000-Pro.jpg,5416,"Growatt Infinity 2000 Pro",,,,https://jan-garay.com/wp-content/uploads/2025/08/Growatt-Infinity-2000-Pro.jpg
,,5209.22,5209.22,,outofstock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,"Bifacial|Mono PERC",no,yes,yes,Voltage,,no,no,no,Wattage,400W-500W,no,yes,yes,simple,70,visible,https://jan-garay.com/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,/srv/htdocs/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,5472,Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139,,,,https://jan-garay.com/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg
,,144.70,144.70,,outofstock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,"Bifacial|Mono PERC",no,yes,yes,Voltage,,no,no,no,Wattage,400W-500W,no,yes,yes,simple,70,visible,https://jan-garay.com/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,/srv/htdocs/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,5472,Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139,,,,https://jan-garay.com/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg
,,4607.82,4607.82,,outofstock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,"Bifacial|Mono PERC",no,yes,yes,Voltage,,no,no,no,Wattage,400W-500W,no,yes,yes,simple,70,visible,https://jan-garay.com/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,/srv/htdocs/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,5472,Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139,,,,https://jan-garay.com/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg
,,128.00,128.00,,outofstock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,"Bifacial|Mono PERC",no,yes,yes,Voltage,,no,no,no,Wattage,400W-500W,no,yes,yes,simple,70,visible,https://jan-garay.com/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,/srv/htdocs/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg,5472,Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139,,,,https://jan-garay.com/wp-content/uploads/2025/10/Talesun_400W_Bifacial_Solar_Panel_TP7G54M__73139.jpg
,,5989.20,5989.20,,outofstock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,"All Black",no,yes,yes,Voltage,,no,no,no,Wattage,400W-500W,no,yes,yes,simple,70,visible,https://jan-garay.com/wp-content/uploads/2025/06/6.1-54TM-450H.png,6.1-54TM-450H.png,/srv/htdocs/wp-content/uploads/2025/06/6.1-54TM-450H.png,4847,CSI-6.1-54TM-xxxH,,,,https://jan-garay.com/wp-content/uploads/2025/06/6.1-54TM-450H.png
