Sku,"Global Unique Id",Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_700-watt)","Attribute Value (pa_700-watt)","Attribute In Variations (pa_700-watt)","Attribute Is Visible (pa_700-watt)","Attribute Is Taxonomy (pa_700-watt)","Attribute Name (pa_btu)","Attribute Value (pa_btu)","Attribute In Variations (pa_btu)","Attribute Is Visible (pa_btu)","Attribute Is Taxonomy (pa_btu)","Attribute Name (pa_hvac-attribute)","Attribute Value (pa_hvac-attribute)","Attribute In Variations (pa_hvac-attribute)","Attribute Is Visible (pa_hvac-attribute)","Attribute Is Taxonomy (pa_hvac-attribute)","Attribute Name (pa_hvac-component)","Attribute Value (pa_hvac-component)","Attribute In Variations (pa_hvac-component)","Attribute Is Visible (pa_hvac-component)","Attribute Is Taxonomy (pa_hvac-component)","Attribute Name (pa_refrigerant)","Attribute Value (pa_refrigerant)","Attribute In Variations (pa_refrigerant)","Attribute Is Visible (pa_refrigerant)","Attribute Is Taxonomy (pa_refrigerant)","Attribute Name (pa_technology)","Attribute Value (pa_technology)","Attribute In Variations (pa_technology)","Attribute Is Visible (pa_technology)","Attribute Is Taxonomy (pa_technology)","Attribute Name (pa_voltage)","Attribute Value (pa_voltage)","Attribute In Variations (pa_voltage)","Attribute Is Visible (pa_voltage)","Attribute Is Taxonomy (pa_voltage)","Attribute Name (pa_wattage)","Attribute Value (pa_wattage)","Attribute In Variations (pa_wattage)","Attribute Is Visible (pa_wattage)","Attribute Is Taxonomy (pa_wattage)","Product Type","Shipping Class","Product Visibility","Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured"
"AURUS Mini Split Inverter Series L 20",,596.55,596.55,,outofstock,,,1,">700 WATT",,no,no,no,BTU,12K,no,yes,yes,"HVAC Attribute",,no,no,no,"HVAC Component",Condenser|Evaporator,no,yes,yes,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,115V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/AURUS.png,AURUS.png,/srv/htdocs/wp-content/uploads/2024/05/AURUS.png,2748,AURUS,,,"AURUS Mini Split Inverter",https://jan-garay.com/wp-content/uploads/2024/05/AURUS.png
DXFM-1823-2Z,,770,770,,outofstock,,,0,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute",Condenser,no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2025/04/DXLC.webp|https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-2-Zone-18K-BTU.webp,DXLC.webp|Flex-Mount-2-Zone-18K-BTU.webp,/srv/htdocs/wp-content/uploads/2025/04/DXLC.webp|/srv/htdocs/wp-content/uploads/2024/05/Flex-Mount-2-Zone-18K-BTU.webp,4162|2548,"DXLC|Flex Mount 2 Zone 18K BTU",|,|,"Daizuki Single Zone Inverter Light Commercial Outdoor 12K BTU 25 SEER2 208-230V R410A|Flex Mount 2 Zone 18K BTU",https://jan-garay.com/wp-content/uploads/2025/04/DXLC.webp
DXFM-2723-3Z,,1659.38,1659.38,,outofstock,,,0,">700 WATT",,no,no,no,BTU,28K,no,yes,yes,"HVAC Attribute",Condenser,no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-2-Zone-18K-BTU-1-e1734619946876.webp,Flex-Mount-2-Zone-18K-BTU-1-e1734619946876.webp,/srv/htdocs/wp-content/uploads/2024/05/Flex-Mount-2-Zone-18K-BTU-1-e1734619946876.webp,2952,"Flex Mount 2 Zone 18K BTU",,,"Flex Mount 2 Zone 18K BTU",https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-2-Zone-18K-BTU-1-e1734619946876.webp
DXFM-3623-4Z,,1746.00,1746.00,,outofstock,,,0,">700 WATT",,no,no,no,BTU,36K,no,yes,yes,"HVAC Attribute",Condenser,no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2025/04/DXLC.webp|https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-4-Zone-36K-BTU.webp,DXLC.webp|Flex-Mount-4-Zone-36K-BTU.webp,/srv/htdocs/wp-content/uploads/2025/04/DXLC.webp|/srv/htdocs/wp-content/uploads/2024/05/Flex-Mount-4-Zone-36K-BTU.webp,4162|2585,"DXLC|Flex Mount 4 Zone 36K BTU",|,|,"Daizuki Single Zone Inverter Light Commercial Outdoor 12K BTU 25 SEER2 208-230V R410A|Flex Mount 4 Zone 36K BTU",https://jan-garay.com/wp-content/uploads/2025/04/DXLC.webp
DXFM-4823-5Z,,3220.58,3220.58,,outofstock,,,0,">700 WATT",,no,no,no,BTU,48K,no,yes,yes,"HVAC Attribute",Condenser,no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-5-Zone-48K-BTU.webp,Flex-Mount-5-Zone-48K-BTU.webp,/srv/htdocs/wp-content/uploads/2024/05/Flex-Mount-5-Zone-48K-BTU.webp,2951,"Flex Mount 5 Zone 48K BTU",,,"Flex Mount 4 Zone 36K BTU",https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-5-Zone-48K-BTU.webp
DXAH18E426-21,,600,600,,instock,,,0,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute","Air Handler",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2024/05/Air-Handler.webp,Air-Handler.webp,/srv/htdocs/wp-content/uploads/2024/05/Air-Handler.webp,2588,"Air Handler",,,"Daizuki Air Handler 18K BTU 208-230V",https://jan-garay.com/wp-content/uploads/2024/05/Air-Handler.webp
DXAH24E426-20,,610,610,,instock,,,0,">700 WATT",,no,no,no,BTU,24K,no,yes,yes,"HVAC Attribute","Air Handler",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/Air-Handler.webp,Air-Handler.webp,/srv/htdocs/wp-content/uploads/2024/05/Air-Handler.webp,2588,"Air Handler",,,"Daizuki Air Handler 18K BTU 208-230V",https://jan-garay.com/wp-content/uploads/2024/05/Air-Handler.webp
DXCC12E426-21,,325.88,325.88,,instock,,,0,">700 WATT",,no,no,no,BTU,12K,no,yes,yes,"HVAC Attribute","4-Way Cassette",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp,4-Way-Cassette.webp,/srv/htdocs/wp-content/uploads/2024/05/4-Way-Cassette.webp,2592,"4 Way Cassette",,,"4 Way Cassette",https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp
DXCC18E426-20,,340.22,340.22,,instock,,,0,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute","4-Way Cassette",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp,4-Way-Cassette.webp,/srv/htdocs/wp-content/uploads/2024/05/4-Way-Cassette.webp,2592,"4 Way Cassette",,,"4 Way Cassette",https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp
DXCC24E426-24,,377.92,377.92,,instock,,,0,">700 WATT",,no,no,no,BTU,24K,no,yes,yes,"HVAC Attribute","4-Way Cassette",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp,4-Way-Cassette.webp,/srv/htdocs/wp-content/uploads/2024/05/4-Way-Cassette.webp,2592,"4 Way Cassette",,,"4 Way Cassette",https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp
DXCC09E426-20,,275.49,275.49,,instock,,,1,">700 WATT",,no,no,no,BTU,9K,no,yes,yes,"HVAC Attribute","4-Way Cassette",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp,4-Way-Cassette.webp,/srv/htdocs/wp-content/uploads/2024/05/4-Way-Cassette.webp,2592,"4 Way Cassette",,,"4 Way Cassette",https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp
DXFU12E426-21,,392.70,392.70,,instock,,,0,">700 WATT",,no,no,no,BTU,12K,no,yes,yes,"HVAC Attribute","Slim Duct",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/Fan-Coil.webp,Fan-Coil.webp,/srv/htdocs/wp-content/uploads/2024/05/Fan-Coil.webp,2597,"Fan Coil",,,"Fan Coil",https://jan-garay.com/wp-content/uploads/2024/05/Fan-Coil.webp
DXFU18E426-19,,488.75,488.75,,instock,,,0,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute","Slim Duct",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/Fan-Coil.webp,Fan-Coil.webp,/srv/htdocs/wp-content/uploads/2024/05/Fan-Coil.webp,2597,"Fan Coil",,,"Fan Coil",https://jan-garay.com/wp-content/uploads/2024/05/Fan-Coil.webp
DXFU24E426-24,,594.58,594.58,,instock,,,0,">700 WATT",,no,no,no,BTU,24K,no,yes,yes,"HVAC Attribute","Slim Duct",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2024/05/Fan-Coil.webp,Fan-Coil.webp,/srv/htdocs/wp-content/uploads/2024/05/Fan-Coil.webp,2597,"Fan Coil",,,"Fan Coil",https://jan-garay.com/wp-content/uploads/2024/05/Fan-Coil.webp
DXFU24E426-21,,280.82,280.82,,outofstock,,,3,">700 WATT",,no,no,no,BTU,12K,no,yes,yes,"HVAC Attribute","Wall Mounted",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2024/05/Highwall.webp,Highwall.webp,/srv/htdocs/wp-content/uploads/2024/05/Highwall.webp,2602,Highwall,,,Highwall,https://jan-garay.com/wp-content/uploads/2024/05/Highwall.webp
DXMH18E426-20,,289.33,289.33,,outofstock,,,3,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute","Wall Mounted",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/Highwall.webp,Highwall.webp,/srv/htdocs/wp-content/uploads/2024/05/Highwall.webp,2602,Highwall,,,Highwall,https://jan-garay.com/wp-content/uploads/2024/05/Highwall.webp
DXMH24E426-20,,357.00,357.00,,instock,,,1,">700 WATT",,no,no,no,BTU,24K,no,yes,yes,"HVAC Attribute","Wall Mounted",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/Highwall.webp,Highwall.webp,/srv/htdocs/wp-content/uploads/2024/05/Highwall.webp,2602,Highwall,,,Highwall,https://jan-garay.com/wp-content/uploads/2024/05/Highwall.webp
DXMH09E426-25,,253.38,253.38,,outofstock,,,1,">700 WATT",,no,no,no,BTU,9K,no,yes,yes,"HVAC Attribute","Wall Mounted",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/Highwall.webp,Highwall.webp,/srv/htdocs/wp-content/uploads/2024/05/Highwall.webp,2602,Highwall,,,Highwall,https://jan-garay.com/wp-content/uploads/2024/05/Highwall.webp
HY-DH108P8B-400,,99,126.00,99,outofstock,,,150,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,Bifacial,no,yes,yes,Voltage,,no,no,no,Wattage,500W-600W,no,yes,yes,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/hyperion-solar.jpg|https://jan-garay.com/wp-content/uploads/2024/05/Hyperion-Solar-01-scaled.webp|https://jan-garay.com/wp-content/uploads/2024/05/hyperion.jpg,hyperion-solar.jpg|Hyperion-Solar-01-scaled.webp|hyperion.jpg,/srv/htdocs/wp-content/uploads/2024/05/hyperion-solar.jpg|/srv/htdocs/wp-content/uploads/2024/05/Hyperion-Solar-01-scaled.webp|/srv/htdocs/wp-content/uploads/2024/05/hyperion.jpg,3975|2607|3970,hyperion-solar|Hyperion-Solar-01|hyperion,||,||,"hyperion solar|Hyperion-Solar-01|hyperion solar",https://jan-garay.com/wp-content/uploads/2024/05/hyperion-solar.jpg
"AURUS Mini Split Inverter L",,596.55,596.55,,outofstock,,,0,">700 WATT",,no,no,no,BTU,12K,no,yes,yes,"HVAC Attribute",,no,no,no,"HVAC Component",Condenser|Evaporator,no,yes,yes,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/AURUS.png,AURUS.png,/srv/htdocs/wp-content/uploads/2024/05/AURUS.png,2748,AURUS,,,"AURUS Mini Split Inverter",https://jan-garay.com/wp-content/uploads/2024/05/AURUS.png
"AURUS Mini Split Inverter Series L 19",,891.75,891.75,,outofstock,,,1,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute",,no,no,no,"HVAC Component",Condenser|Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2024/05/AURUS.png,AURUS.png,/srv/htdocs/wp-content/uploads/2024/05/AURUS.png,2748,AURUS,,,"AURUS Mini Split Inverter",https://jan-garay.com/wp-content/uploads/2024/05/AURUS.png
"AURUS Mini Split Inverter Series L",,1125.45,1125.45,,outofstock,,,1,">700 WATT",,no,no,no,BTU,24K,no,yes,yes,"HVAC Attribute",,no,no,no,"HVAC Component",Condenser|Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2024/05/AURUS.png|https://jan-garay.com/wp-content/uploads/2024/05/Widget6.png,AURUS.png|Widget6.png,/srv/htdocs/wp-content/uploads/2024/05/AURUS.png|/srv/htdocs/wp-content/uploads/2024/05/Widget6.png,2748|3112,AURUS|Widget6,|,|,"AURUS Mini Split Inverter|",https://jan-garay.com/wp-content/uploads/2024/05/AURUS.png
HY-DH108P8B-400,,3564.00,4320.00,3564.00,outofstock,,,5,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,Bifacial,no,yes,yes,Voltage,,no,no,no,Wattage,500W-600W,no,yes,yes,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2024/10/hyperion-pallet-scaled.jpg|https://jan-garay.com/wp-content/uploads/2024/05/Hyperion-Solar-01-scaled.webp|https://jan-garay.com/wp-content/uploads/2024/10/hyperion-pallete.png,hyperion-pallet-scaled.jpg|Hyperion-Solar-01-scaled.webp|hyperion-pallete.png,/srv/htdocs/wp-content/uploads/2024/10/hyperion-pallet-scaled.jpg|/srv/htdocs/wp-content/uploads/2024/05/Hyperion-Solar-01-scaled.webp|/srv/htdocs/wp-content/uploads/2024/10/hyperion-pallete.png,3145|2607|3134,"05fcb5bd-8c26-4d45-9a92-d11217107e02|Hyperion-Solar-01|hyperion pallet",05fcb5bd-8c26-4d45-9a92-d11217107e02||,||,|Hyperion-Solar-01|,https://jan-garay.com/wp-content/uploads/2024/10/hyperion-pallet-scaled.jpg
,,1.00,1.00,,instock,,,1,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,,visible,https://jan-garay.com/wp-content/uploads/2024/05/Fan-Coil.webp|https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp|https://jan-garay.com/wp-content/uploads/2024/05/Highwall.webp,Fan-Coil.webp|4-Way-Cassette.webp|Highwall.webp,/srv/htdocs/wp-content/uploads/2024/05/Fan-Coil.webp|/srv/htdocs/wp-content/uploads/2024/05/4-Way-Cassette.webp|/srv/htdocs/wp-content/uploads/2024/05/Highwall.webp,2597|2592|2602,"Fan Coil|4 Way Cassette|Highwall",||,||,"Fan Coil|4 Way Cassette|Highwall",https://jan-garay.com/wp-content/uploads/2024/05/Fan-Coil.webp
,,385.52,385.52,,instock,,,0,">700 WATT",,no,no,no,BTU,9K,no,yes,yes,"HVAC Attribute","Slim Duct",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/01/Fan-Coil.jpg,Fan-Coil.jpg,/srv/htdocs/wp-content/uploads/2025/01/Fan-Coil.jpg,3721,"Fan Coil",,,"Daizuki Fan Coil 9K BTU 208-230V",https://jan-garay.com/wp-content/uploads/2025/01/Fan-Coil.jpg
,,391.02,391.02,,instock,,,0,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute","Floor Ceiling",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/01/Floor-Ceiling-Unit.jpg,Floor-Ceiling-Unit.jpg,/srv/htdocs/wp-content/uploads/2025/01/Floor-Ceiling-Unit.jpg,3723,Floor-Ceiling-Unit,,,Floor-Ceiling-Unit,https://jan-garay.com/wp-content/uploads/2025/01/Floor-Ceiling-Unit.jpg
,,414.49,414.49,,instock,,,1,">700 WATT",,no,no,no,BTU,24K,no,yes,yes,"HVAC Attribute","Floor Ceiling",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/01/Floor-Ceiling-Unit.jpg,Floor-Ceiling-Unit.jpg,/srv/htdocs/wp-content/uploads/2025/01/Floor-Ceiling-Unit.jpg,3723,Floor-Ceiling-Unit,,,Floor-Ceiling-Unit,https://jan-garay.com/wp-content/uploads/2025/01/Floor-Ceiling-Unit.jpg
,,139.00,139.00,,outofstock,,,44,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,MonoFacial,no,yes,yes,Voltage,,no,no,no,Wattage,500W-600W,no,yes,yes,simple,"$10 Flat Rate",visible,https://jan-garay.com/wp-content/uploads/2025/02/ja_solar-e1747761821257.jpg|https://jan-garay.com/wp-content/uploads/2025/02/Specs-Sheet-JA-Solar-JAM72S30-530-555-MR-30mm-Global_EN_20220901A-3-Page-1.jpg|https://jan-garay.com/wp-content/uploads/2025/02/Specs-Sheet-JA-Solar-JAM72S30-530-555-MR-30mm-Global_EN_20220901A-3-Page-2.jpg|https://jan-garay.com/wp-content/uploads/2025/02/JA-Solar-550W.jpg,ja_solar-e1747761821257.jpg|Specs-Sheet-JA-Solar-JAM72S30-530-555-MR-30mm-Global_EN_20220901A-3-Page-1.jpg|Specs-Sheet-JA-Solar-JAM72S30-530-555-MR-30mm-Global_EN_20220901A-3-Page-2.jpg|JA-Solar-550W.jpg,/srv/htdocs/wp-content/uploads/2025/02/ja_solar-e1747761821257.jpg|/srv/htdocs/wp-content/uploads/2025/02/Specs-Sheet-JA-Solar-JAM72S30-530-555-MR-30mm-Global_EN_20220901A-3-Page-1.jpg|/srv/htdocs/wp-content/uploads/2025/02/Specs-Sheet-JA-Solar-JAM72S30-530-555-MR-30mm-Global_EN_20220901A-3-Page-2.jpg|/srv/htdocs/wp-content/uploads/2025/02/JA-Solar-550W.jpg,3976|3936|3937|3943,"ja_solar|Specs-Sheet-JA-Solar-JAM72S30-530-555-MR-(30mm)-Global_EN_20220901A-3-(Page-1)|Specs-Sheet-JA-Solar-JAM72S30-530-555-MR-(30mm)-Global_EN_20220901A-3-(Page-2)|JA Solar 550W",|||,|||,"JA Solar|||JA Solar Deep Blue 3.0 550W Mono JAM72S30 Panel",https://jan-garay.com/wp-content/uploads/2025/02/ja_solar-e1747761821257.jpg
,,5004.00,5004.00,,outofstock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,MonoFacial,no,yes,yes,Voltage,,no,no,no,Wattage,500W-600W,no,yes,yes,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2025/02/ja_solar-e1747761821257.jpg,ja_solar-e1747761821257.jpg,/srv/htdocs/wp-content/uploads/2025/02/ja_solar-e1747761821257.jpg,3976,ja_solar,,,"JA Solar",https://jan-garay.com/wp-content/uploads/2025/02/ja_solar-e1747761821257.jpg
,,131.00,131.00,,outofstock,,,42,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,MonoFacial,no,yes,yes,Voltage,,no,no,no,Wattage,400W-500W,no,yes,yes,simple,"$10 Flat Rate",visible,https://jan-garay.com/wp-content/uploads/2025/02/jinkoSolar.jpg|https://jan-garay.com/wp-content/uploads/2025/02/Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-1.png|https://jan-garay.com/wp-content/uploads/2025/02/Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-2.png,jinkoSolar.jpg|Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-1.png|Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-2.png,/srv/htdocs/wp-content/uploads/2025/02/jinkoSolar.jpg|/srv/htdocs/wp-content/uploads/2025/02/Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-1.png|/srv/htdocs/wp-content/uploads/2025/02/Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-2.png,3977|3967|3968,"jinkoSolar|Specs Sheet Jinko JKM420-440N-54HL4R-B-F2-EN-4 (Page 1)|Specs Sheet Jinko JKM420-440N-54HL4R-B-F2-EN-4 (Page 2)",||,||,"Jinko Solar|Specs Sheet Jinko JKM420-440N-54HL4R-B-F2-EN-4 (Page 1)|Specs Sheet Jinko JKM420-440N-54HL4R-B-F2-EN-4 (Page 2)",https://jan-garay.com/wp-content/uploads/2025/02/jinkoSolar.jpg
,,4724.37,4724.37,,outofstock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,MonoFacial,no,yes,yes,Voltage,,no,no,no,Wattage,400W-500W,no,yes,yes,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2025/02/jinkoSolar.jpg|https://jan-garay.com/wp-content/uploads/2025/02/Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-2.png|https://jan-garay.com/wp-content/uploads/2025/02/Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-1.png,jinkoSolar.jpg|Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-2.png|Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-1.png,/srv/htdocs/wp-content/uploads/2025/02/jinkoSolar.jpg|/srv/htdocs/wp-content/uploads/2025/02/Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-2.png|/srv/htdocs/wp-content/uploads/2025/02/Specs-Sheet-Jinko-JKM420-440N-54HL4R-B-F2-EN-4-Page-1.png,3977|3968|3967,"jinkoSolar|Specs Sheet Jinko JKM420-440N-54HL4R-B-F2-EN-4 (Page 2)|Specs Sheet Jinko JKM420-440N-54HL4R-B-F2-EN-4 (Page 1)",||,||,"Jinko Solar|Specs Sheet Jinko JKM420-440N-54HL4R-B-F2-EN-4 (Page 2)|Specs Sheet Jinko JKM420-440N-54HL4R-B-F2-EN-4 (Page 1)",https://jan-garay.com/wp-content/uploads/2025/02/jinkoSolar.jpg
